tag_id,type,stap_s,stap_t,lat_s,lon_s,lat_t,lon_t,j,start,end,n,distance,bearing,gs_u,gs_v,ws_u,ws_v
18LX,simulation,18,19,9.625,-1.875,7.625,-4.875,2,2017-12-05T18:52:30Z,2017-12-06T05:37:30Z,1,398.21565592958916,236.2409702098289,-30.797148476090648,-20.585018036383783,-10.265585573773052,-6.616013999761535
18LX,simulation,18,19,10.375,-1.125,10.375,-4.875,3,2017-12-05T18:52:30Z,2017-12-06T05:37:30Z,1,410.62049613077835,270.33778535959436,-38.19659165396885,0.22518934270502564,-16.932589434601542,-10.214741425270256
18LX,simulation,18,19,10.125,-1.125,10.125,-5.375,4,2017-12-05T18:52:30Z,2017-12-06T05:37:30Z,1,465.73662167604556,270.3737331737965,-43.32341522379346,0.2825972043561246,-13.885429028533224,-8.041275968329852
18LX,simulation,18,19,9.875,-1.125,7.625,-5.625,5,2017-12-05T18:52:30Z,2017-12-06T05:37:30Z,1,554.8238186999318,243.5215734677853,-46.197588699069875,-23.011553415092806,-8.232461005277411,-5.844556695982468
18LX,simulation,18,19,10.125,-1.625,8.625,-4.625,6,2017-12-05T18:52:30Z,2017-12-06T05:37:30Z,1,369.3826803316565,243.37589007087718,-30.71771737653813,-15.39845772549464,-14.371681049790492,-7.2137988153501995
18LX,simulation,18,19,9.375,-1.625,10.375,-5.375,7,2017-12-05T18:52:30Z,2017-12-06T05:37:30Z,1,426.0552277928106,285.46206255728146,-38.19861317399673,10.566180181575442,-16.368837708584103,-9.85363073304642
18LX,simulation,18,19,9.875,-1.125,6.875,-6.875,8,2017-12-05T18:52:30Z,2017-12-06T05:37:30Z,1,715.8513986633939,242.63628023888532,-59.1397543232593,-30.607642891309418,-6.724027933874797,-5.591624850960664
18LX,simulation,18,19,8.875,-2.125,8.125,-6.625,9,2017-12-05T18:52:30Z,2017-12-06T05:37:30Z,1,502.4143652040345,260.77215891454637,-46.13138132506746,-7.494659345408541,-5.511107262544854,-5.829776354412702
18LX,simulation,18,19,10.125,-1.375,8.625,-5.625,10,2017-12-05T18:52:30Z,2017-12-06T05:37:30Z,1,495.73947915251097,250.6720878020251,-43.51623404559197,-15.26297167022553,-13.241150276716366,-7.859861746854562
18LX,simulation,19,20,6.875,-5.375,6.375,-6.625,1,2017-12-06T19:12:30Z,2017-12-07T00:12:30Z,1,149.00568352383019,248.13885941631565,-27.658107462146923,-11.09670403806852,-0.9353809455871585,5.355921207427979
18LX,simulation,19,20,7.625,-4.875,7.375,-6.625,2,2017-12-06T19:12:30Z,2017-12-07T00:12:30Z,1,195.13690467149203,261.91554779865794,-38.63952121288186,-5.488521023927281,-0.7323107795715338,11.729236832427983
18LX,simulation,19,20,10.375,-4.875,7.875,-6.625,3,2017-12-06T19:12:30Z,2017-12-07T00:12:30Z,1,338.2896685273125,214.7929702112482,-38.60648395208968,-55.56199591582182,-7.557611463165284,-6.587164827728273
18LX,simulation,19,20,10.125,-5.375,7.625,-6.125,4,2017-12-06T19:12:30Z,2017-12-07T00:12:30Z,1,290.2647479913793,196.56958517792782,-16.555517664199307,-55.64224826451877,-6.079430603790283,-3.1031341148376472
18LX,simulation,19,20,7.625,-5.625,7.375,-6.125,5,2017-12-06T19:12:30Z,2017-12-07T00:12:30Z,1,61.80390474244205,243.27032539780328,-11.039890065192612,-5.559652237773108,-1.7073521369934088,11.039228385162353
18LX,simulation,19,20,8.625,-4.625,7.625,-6.375,6,2017-12-06T19:12:30Z,2017-12-07T00:12:30Z,1,222.67351104555888,240.1314069741327,-38.61915180412425,-22.178837092694295,-3.592967566680908,14.011896988677982
18LX,simulation,19,20,10.375,-5.375,7.875,-6.375,7,2017-12-06T19:12:30Z,2017-12-07T00:12:30Z,1,299.21308923109075,201.63230622360572,-22.06090618093879,-55.627828729551574,-7.303071082305911,-7.260971468353274
18LX,simulation,19,20,6.875,-6.875,7.875,-6.125,8,2017-12-06T19:12:30Z,2017-12-07T00:12:30Z,1,138.73538683000172,36.59430415066936,16.54128318084254,22.277483095852283,-0.08021492996215862,13.267721793365482
18LX,simulation,19,20,8.125,-6.625,7.625,-7.375,9,2017-12-06T19:12:30Z,2017-12-07T00:12:30Z,1,99.68762542484085,236.11075286562277,-16.55047739694799,-11.116951220854064,0.934490880584717,12.083766764068606
18LX,simulation,19,20,8.625,-5.625,7.875,-6.375,10,2017-12-06T19:12:30Z,2017-12-07T00:12:30Z,1,117.4623478641999,224.75641997533137,-16.540913827536162,-16.682155028078217,0.524998790740967,12.271665445709228
18LX,simulation,20,21,6.375,-6.625,9.125,-5.875,1,2018-04-10T19:42:30Z,2018-04-11T00:02:30Z,1,317.1073792140521,15.07319244658197,19.030303272359063,70.6608721753505,1.4097072486877442,21.54404523644081
18LX,simulation,20,21,7.375,-6.625,7.125,-6.125,2,2018-04-10T19:42:30Z,2018-04-11T00:02:30Z,1,61.83174161821081,116.7177486807281,12.745407700669626,-6.415219926754382,1.4277878150939942,16.71122293325571
18LX,simulation,20,21,7.875,-6.625,9.375,-5.875,3,2018-04-10T19:42:30Z,2018-04-11T00:02:30Z,1,186.2670027481403,26.25001504987182,19.011653667122776,38.55179440893717,-1.8180408545273998,17.601480201134315
18LX,simulation,20,21,7.625,-6.125,9.125,-5.875,4,2018-04-10T19:42:30Z,2018-04-11T00:02:30Z,1,169.23383368763817,9.345281362113269,6.3417264504816755,38.53562538562473,-0.31820919887836174,20.630770709698012
18LX,simulation,20,21,7.375,-6.125,8.375,-6.125,5,2018-04-10T19:42:30Z,2018-04-11T00:02:30Z,1,111.31949079327354,0,1.5730045163387966e-15,25.689113259986204,0.5570998455927924,21.441849567119895
18LX,simulation,20,21,7.625,-6.375,9.875,-6.125,6,2018-04-10T19:42:30Z,2018-04-11T00:02:30Z,1,251.97444604352992,6.248382289131143,6.32875348041072,57.802516056006276,-2.107355495452881,19.947014493502106
18LX,simulation,20,21,7.875,-6.375,7.875,-6.125,7,2018-04-10T19:42:30Z,2018-04-11T00:02:30Z,1,27.56741823287683,89.98287343062765,6.361711615684565,0.0019016112440370255,0.6025746803283692,19.216230877216052
18LX,simulation,20,21,7.875,-6.125,9.625,-5.125,8,2018-04-10T19:42:30Z,2018-04-11T00:02:30Z,1,223.7293731258347,29.382309866150194,25.331400753428355,44.98846627704694,0.9338827857971191,19.84970233154297
18LX,simulation,20,21,7.625,-7.375,6.375,-6.875,9,2018-04-10T19:42:30Z,2018-04-11T00:02:30Z,1,149.71444076105865,158.31502491731862,12.766142100216872,-32.10440190235064,2.0102942566504844,14.605616243802586
18LX,simulation,20,21,7.875,-6.375,8.875,-5.375,10,2018-04-10T19:42:30Z,2018-04-11T00:02:30Z,1,156.59129971040474,44.62112410703156,25.382805927069484,25.720739783566852,0.9994014156048117,19.961489966759313
